3201903010000014200096206760174753, 3153153453, JOÃO MACEDO,   BAR DO JOÃO       
5201903010000013200556418150633123, 7687145607, MARIA JOSEFINA, LOJA DO Ó - MATRIZ
3201903010000012200845152540736777, 1313172712, MARCOS PEREIRA, MERCADO DA AVENIDA
2201903010000011200096206760173648, 0099234234, JOÃO MACEDO,   BAR DO JOÃO       
1201903010000015200096206760171234, 7890233000, JOÃO MACEDO,   BAR DO JOÃO       
2201903010000010700845152540738723, 9987123333, MARCOS PEREIRA, MERCADO DA AVENIDA
2201903010000050200845152540738473, 1231231233, MARCOS PEREIRA, MERCADO DA AVENIDA
3201903010000060200232702980566777, 1313172712, JOSÉ COSTA,     MERCEARIA 3 IRMÃOS
1201903010000020000556418150631234, 3324090002, MARIA JOSEFINA, LOJA DO Ó - MATRIZ
5201903010000080200845152540733123, 7687145607, MARCOS PEREIRA, MERCADO DA AVENIDA
2201903010000010200232702980568473, 1231231233, JOSÉ COSTA,    MERCEARIA 3 IRMÃOS
3201903010000610200232702980566777, 1313172712, JOSÉ COSTA,    MERCEARIA 3 IRMÃOS
4201903010000015232556418150631234, 6678100000, MARIA JOSEFINA, LOJA DO Ó - FILIAL
8201903010000010203845152540732344, 1222123222, MARCOS PEREIRA, MERCADO DA AVENIDA
3201903010000010300232702980566777, 1313172712, JOSÉ COSTA,    MERCEARIA 3 IRMÃOS
9201903010000010200556418150636228, 9090000000, MARIA JOSEFINA, LOJA DO Ó - MATRIZ
4201906010000050617845152540731234, 2231100000, MARCOS PEREIRA, MERCADO DA AVENIDA
2201903010000010900232702980568723, 9987123333, JOSÉ COSTA,   MERCEARIA 3 IRMÃOS
8201903010000000200845152540732344, 1222123222, MARCOS PEREIRA, MERCADO DA AVENIDA
2201903010000000500232702980567677, 8778141808, JOSÉ COSTA,    MERCEARIA 3 IRMÃOS
3201903010000019200845152540736777, 1313172712, MARCOS PEREIRA, MERCADO DA AVENIDA
